,data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_test,note_casi
1366,2020-04-29T17:00:00,17,Basilicata,51,4,55,139,194,147,25,366,11331,11331.0,,
1367,2020-04-29T17:00:00,18,Calabria,107,6,113,640,753,263,86,1102,34914,32961.0,,
1368,2020-04-29T17:00:00,15,Campania,518,31,549,2233,2782,1269,359,4410,73094,43449.0,,
1369,2020-04-29T17:00:00,8,Emilia-Romagna,2527,226,2753,9109,11862,9803,3512,25177,176865,118881.0,,
1370,2020-04-29T17:00:00,6,Friuli Venezia Giulia,134,12,146,1081,1227,1498,285,3010,66769,42902.0,,
1371,2020-04-29T17:00:00,12,Lazio,1445,130,1575,2960,4535,1579,431,6545,133503,103435.0,,
1372,2020-04-29T17:00:00,7,Liguria,697,70,767,2809,3576,3161,1152,7889,47220,30669.0,,
1373,2020-04-29T17:00:00,3,Lombardia,7120,634,7754,28368,36122,25333,13679,75134,365895,223952.0,,
1374,2020-04-29T17:00:00,11,Marche,640,52,692,2655,3347,1964,899,6210,55905,37877.0,,
1375,2020-04-29T17:00:00,14,Molise,17,1,18,175,193,83,21,297,5910,5857.0,,
1376,2020-04-29T17:00:00,21,P.A. Bolzano,119,14,133,712,845,1388,274,2507,40218,18844.0,,
1377,2020-04-29T17:00:00,22,P.A. Trento,165,22,187,1276,1463,2190,416,4069,35008,20944.0,,
1378,2020-04-29T17:00:00,1,Piemonte,2637,202,2839,12682,15521,7337,3003,25861,151266,106179.0,,
1379,2020-04-29T17:00:00,16,Puglia,449,47,496,2431,2927,692,410,4029,60334,59801.0,,
1380,2020-04-29T17:00:00,20,Sardegna,87,17,104,657,761,413,116,1290,23299,21071.0,,
1381,2020-04-29T17:00:00,19,Sicilia,415,34,449,1696,2145,763,232,3140,75360,71301.0,,
1382,2020-04-29T17:00:00,9,Toscana,576,139,715,4948,5663,2802,827,9292,137482,106150.0,,
1383,2020-04-29T17:00:00,10,Umbria,77,16,93,168,261,1064,66,1391,34937,24079.0,,
1384,2020-04-29T17:00:00,2,Valle d'Aosta,78,5,83,52,135,852,137,1124,7181,5337.0,,
1385,2020-04-29T17:00:00,5,Veneto,1042,114,1156,7213,8369,8019,1437,17825,337656,200737.0,,
1386,2020-04-30T17:00:00,13,Abruzzo,306,16,322,1593,1915,695,320,2930,37996,28351.0,,
1387,2020-04-30T17:00:00,17,Basilicata,49,4,53,139,192,150,25,367,12774,12774.0,,
1388,2020-04-30T17:00:00,18,Calabria,105,6,111,629,740,282,86,1108,35903,33950.0,,
